GAME,ROW,LeftTile,RightTile
1,1,1,0
1,2,1,0
1,3,1,0
1,4,0,1
1,5,1,0
1,6,1,0
1,7,1,0
1,8,1,0
1,9,1,0
2,1,0,1
2,2,1,0
2,3,1,0
2,4,1,0
2,5,1,0
2,6,0,1
2,7,0,1
2,8,1,0
2,9,0,1
3,1,0,1
3,2,1,0
3,3,0,1
3,4,1,0
3,5,0,1
3,6,0,1
3,7,0,1
3,8,1,0
3,9,1,0
4,1,0,1
4,2,1,0
4,3,0,1
4,4,1,0
4,5,1,0
4,6,0,1
4,7,1,0
4,8,0,1
4,9,1,0
5,1,1,0
5,2,0,1
5,3,1,0
5,4,1,0
5,5,0,1
5,6,1,0
5,7,1,0
5,8,0,1
5,9,1,0
6,1,1,0
6,2,1,0
6,3,1,0
6,4,0,1
6,5,0,1
6,6,1,0
6,7,0,1
6,8,0,1
6,9,1,0
7,1,1,0
7,2,1,0
7,3,0,1
7,4,1,0
7,5,0,1
7,6,0,1
7,7,1,0
7,8,0,1
7,9,0,1
8,1,1,0
8,2,1,0
8,3,0,1
8,4,0,1
8,5,1,0
8,6,0,1
8,7,0,1
8,8,1,0
8,9,1,0
9,1,1,0
9,2,1,0
9,3,0,1
9,4,1,0
9,5,0,1
9,6,1,0
9,7,1,0
9,8,0,1
9,9,1,0
10,1,0,1
10,2,0,1
10,3,1,0
10,4,0,1
10,5,0,1
10,6,1,0
10,7,1,0
10,8,1,0
10,9,1,0
11,1,0,1
11,2,1,0
11,3,0,1
11,4,1,0
11,5,0,1
11,6,0,1
11,7,0,1
11,8,1,0
11,9,1,0
12,1,1,0
12,2,1,0
12,3,0,1
12,4,0,1
12,5,1,0
12,6,0,1
12,7,1,0
12,8,1,0
12,9,1,0
13,1,1,0
13,2,1,0
13,3,1,0
13,4,1,0
13,5,0,1
13,6,0,1
13,7,1,0
13,8,0,1
13,9,1,0
14,1,0,1
14,2,0,1
14,3,0,1
14,4,1,0
14,5,1,0
14,6,1,0
14,7,0,1
14,8,0,1
14,9,1,0
15,1,0,1
15,2,1,0
15,3,0,1
15,4,1,0
15,5,0,1
15,6,1,0
15,7,1,0
15,8,0,1
15,9,1,0
16,1,0,1
16,2,0,1
16,3,1,0
16,4,1,0
16,5,0,1
16,6,0,1
16,7,1,0
16,8,0,1
16,9,1,0
17,1,0,1
17,2,0,1
17,3,0,1
17,4,0,1
17,5,1,0
17,6,1,0
17,7,0,1
17,8,0,1
17,9,1,0
18,1,0,1
18,2,1,0
18,3,0,1
18,4,0,1
18,5,1,0
18,6,0,1
18,7,0,1
18,8,0,1
18,9,1,0
19,1,1,0
19,2,0,1
19,3,1,0
19,4,0,1
19,5,1,0
19,6,1,0
19,7,1,0
19,8,0,1
19,9,0,1
20,1,1,0
20,2,0,1
20,3,1,0
20,4,0,1
20,5,1,0
20,6,1,0
20,7,1,0
20,8,0,1
20,9,0,1
21,1,1,0
21,2,1,0
21,3,1,0
21,4,1,0
21,5,0,1
21,6,1,0
21,7,1,0
21,8,1,0
21,9,0,1
22,1,1,0
22,2,0,1
22,3,0,1
22,4,1,0
22,5,1,0
22,6,1,0
22,7,0,1
22,8,0,1
22,9,1,0
23,1,0,1
23,2,0,1
23,3,1,0
23,4,1,0
23,5,1,0
23,6,1,0
23,7,1,0
23,8,1,0
23,9,0,1
24,1,0,1
24,2,1,0
24,3,1,0
24,4,0,1
24,5,1,0
24,6,1,0
24,7,1,0
24,8,1,0
24,9,0,1
25,1,0,1
25,2,0,1
25,3,1,0
25,4,0,1
25,5,1,0
25,6,0,1
25,7,0,1
25,8,0,1
25,9,1,0
26,1,1,0
26,2,1,0
26,3,1,0
26,4,1,0
26,5,1,0
26,6,1,0
26,7,1,0
26,8,1,0
26,9,0,1
27,1,0,1
27,2,0,1
27,3,1,0
27,4,0,1
27,5,0,1
27,6,0,1
27,7,1,0
27,8,1,0
27,9,0,1
28,1,0,1
28,2,0,1
28,3,0,1
28,4,0,1
28,5,0,1
28,6,1,0
28,7,1,0
28,8,1,0
28,9,0,1
29,1,1,0
29,2,1,0
29,3,1,0
29,4,0,1
29,5,1,0
29,6,0,1
29,7,1,0
29,8,1,0
29,9,1,0
30,1,0,1
30,2,0,1
30,3,1,0
30,4,0,1
30,5,0,1
30,6,1,0
30,7,1,0
30,8,0,1
30,9,1,0
31,1,1,0
31,2,1,0
31,3,1,0
31,4,1,0
31,5,0,1
31,6,1,0
31,7,1,0
31,8,0,1
31,9,1,0
32,1,0,1
32,2,1,0
32,3,1,0
32,4,0,1
32,5,1,0
32,6,0,1
32,7,0,1
32,8,1,0
32,9,1,0
33,1,1,0
33,2,0,1
33,3,1,0
33,4,1,0
33,5,0,1
33,6,1,0
33,7,1,0
33,8,1,0
33,9,1,0
34,1,1,0
34,2,0,1
34,3,1,0
34,4,1,0
34,5,1,0
34,6,1,0
34,7,0,1
34,8,1,0
34,9,1,0
35,1,0,1
35,2,1,0
35,3,1,0
35,4,1,0
35,5,0,1
35,6,1,0
35,7,1,0
35,8,1,0
35,9,1,0
36,1,1,0
36,2,0,1
36,3,0,1
36,4,1,0
36,5,1,0
36,6,0,1
36,7,0,1
36,8,1,0
36,9,1,0
37,1,0,1
37,2,0,1
37,3,1,0
37,4,1,0
37,5,1,0
37,6,0,1
37,7,0,1
37,8,1,0
37,9,0,1
38,1,1,0
38,2,0,1
38,3,1,0
38,4,1,0
38,5,0,1
38,6,1,0
38,7,1,0
38,8,0,1
38,9,1,0
39,1,1,0
39,2,0,1
39,3,0,1
39,4,1,0
39,5,1,0
39,6,0,1
39,7,0,1
39,8,1,0
39,9,1,0
40,1,1,0
40,2,0,1
40,3,1,0
40,4,1,0
40,5,0,1
40,6,1,0
40,7,1,0
40,8,0,1
40,9,0,1
41,1,1,0
41,2,0,1
41,3,1,0
41,4,0,1
41,5,0,1
41,6,1,0
41,7,1,0
41,8,0,1
41,9,0,1
42,1,1,0
42,2,0,1
42,3,0,1
42,4,1,0
42,5,1,0
42,6,1,0
42,7,1,0
42,8,1,0
42,9,0,1
43,1,0,1
43,2,0,1
43,3,1,0
43,4,0,1
43,5,0,1
43,6,1,0
43,7,0,1
43,8,1,0
43,9,0,1
44,1,1,0
44,2,1,0
44,3,1,0
44,4,1,0
44,5,0,1
44,6,0,1
44,7,1,0
44,8,0,1
44,9,1,0
45,1,0,1
45,2,1,0
45,3,0,1
45,4,0,1
45,5,1,0
45,6,1,0
45,7,1,0
45,8,1,0
45,9,1,0
46,1,0,1
46,2,1,0
46,3,1,0
46,4,1,0
46,5,1,0
46,6,1,0
46,7,1,0
46,8,0,1
46,9,1,0
47,1,1,0
47,2,1,0
47,3,0,1
47,4,0,1
47,5,0,1
47,6,1,0
47,7,0,1
47,8,0,1
47,9,0,1
48,1,0,1
48,2,1,0
48,3,0,1
48,4,1,0
48,5,1,0
48,6,1,0
48,7,0,1
48,8,1,0
48,9,1,0
49,1,1,0
49,2,1,0
49,3,1,0
49,4,1,0
49,5,0,1
49,6,0,1
49,7,1,0
49,8,0,1
49,9,1,0
50,1,0,1
50,2,1,0
50,3,0,1
50,4,1,0
50,5,0,1
50,6,0,1
50,7,1,0
50,8,1,0
50,9,1,0
51,1,0,1
51,2,1,0
51,3,1,0
51,4,0,1
51,5,0,1
51,6,1,0
51,7,1,0
51,8,1,0
51,9,0,1
52,1,1,0
52,2,1,0
52,3,0,1
52,4,1,0
52,5,0,1
52,6,1,0
52,7,0,1
52,8,1,0
52,9,0,1
53,1,1,0
53,2,0,1
53,3,1,0
53,4,1,0
53,5,0,1
53,6,0,1
53,7,0,1
53,8,0,1
53,9,1,0
54,1,1,0
54,2,1,0
54,3,1,0
54,4,0,1
54,5,0,1
54,6,0,1
54,7,0,1
54,8,0,1
54,9,1,0
55,1,0,1
55,2,1,0
55,3,0,1
55,4,0,1
55,5,1,0
55,6,1,0
55,7,0,1
55,8,1,0
55,9,1,0
56,1,0,1
56,2,1,0
56,3,1,0
56,4,1,0
56,5,1,0
56,6,1,0
56,7,0,1
56,8,0,1
56,9,0,1
57,1,0,1
57,2,1,0
57,3,0,1
57,4,0,1
57,5,0,1
57,6,0,1
57,7,0,1
57,8,0,1
57,9,0,1
58,1,0,1
58,2,1,0
58,3,1,0
58,4,1,0
58,5,1,0
58,6,0,1
58,7,0,1
58,8,1,0
58,9,1,0
